IP Address	Location
	
89.187.177.134	NYC
89.187.177.138	NYC
89.187.177.196	NYC
89.187.178.130	NYC
89.187.179.35 	NYC
	
89.187.185.130	LAX
89.187.185.153	LAX
89.187.185.251	LAX
	
89.187.181.249	MDW
143.244.61.193	MDW
143.244.61.205	MDW
212.102.58.242	MDW
	
143.244.33.78	SIN
143.244.33.79	SIN
143.244.33.95	SIN
	
89.187.188.246  PRG
212.102.38.92   PRG
	
84.17.50.98       LON
84.17.50.99	      LON
89.187.88.237	  LON (offline)
185.59.221.179	  LON
	
138.199.36.76	  FRA
185.102.219.180   FRA
195.181.174.39	  FRA

Map
https://www.google.com/maps/d/viewer?mid=1XzxUxgd59Dr3RSzPewGKBD8mt3M77s9C&ll=29.407860546611722%2C-7.196805555555564&z=3
